Date,Close,High,Low,Open,Volume,Return,SMA20,SMA50,SMA200,RSI,MACD,Signal_Line,Target,Label_ternary
2015-10-26,8260.5498046875,8336.2998046875,8252.0498046875,8333.650390625,133900.0,-0.004207172582956553,8116.060034179687,8038.038017578125,8374.332746582031,63.64865655473334,78.46508514451489,59.79756240762812,0,-1
2015-10-27,8232.900390625,8241.9501953125,8217.0498046875,8230.349609375,156700.0,-0.0033471638954116756,8134.280053710938,8035.707021484375,8373.519997558593,57.820192047928934,75.20795115698638,62.87964015749978,0,-1
2015-10-28,8171.2001953125,8209.099609375,8131.7998046875,8188.89990234375,188900.0,-0.007494344931314734,8153.0550537109375,8032.014033203125,8372.483996582032,49.43505464356873,66.8770419833445,63.679120522668725,0,-1
2015-10-29,8111.75,8179.60009765625,8098.0,8175.4501953125,217500.0,-0.00727557689096936,8166.477563476563,8023.878037109375,8372.40599609375,48.42884354690367,54.84537913595159,61.9123722453253,0,0
2015-10-30,8065.7998046875,8146.10009765625,8044.39990234375,8123.5498046875,199500.0,-0.005664646384873739,8172.32255859375,8015.648037109375,8372.224494628907,38.64757684812195,41.12830144841155,57.75555808594255,0,0
2015-11-02,8050.7998046875,8060.7001953125,7995.60009765625,8054.5498046875,136100.0,-0.0018597039801661053,8177.317553710937,8007.333037109375,8371.30549560547,40.98326123611231,28.71602347158114,51.94765116307027,1,-1
2015-11-03,8060.7001953125,8100.35009765625,8031.75,8086.35009765625,132500.0,0.0012297400090901522,8174.3875732421875,7998.644033203125,8370.186496582031,43.0745299607737,19.453830878946974,45.448887106245614,0,-1
2015-11-04,8040.2001953125,8116.10009765625,8027.2998046875,8104.89990234375,122100.0,-0.0025432033822472278,8168.752587890625,7991.993037109375,8368.772497558593,43.353655204415524,10.340103567009464,38.42713039839838,0,0
2015-11-05,7955.4501953125,8031.2001953125,7944.10009765625,8030.35009765625,132100.0,-0.010540782311541208,8157.655102539063,7985.103037109375,8367.05274658203,28.557783431061196,-3.6788007778650353,30.0059441631457,0,-1
2015-11-06,7954.2998046875,8002.64990234375,7926.14990234375,7956.5498046875,219500.0,-0.00014460408861305396,8148.902587890625,7988.009033203125,8365.436496582031,19.47516220025247,-14.712118240056043,21.062331682505352,0,-1
2015-11-09,7915.2001953125,7937.75,7771.7001953125,7788.25,211800.0,-0.004915531264230055,8135.177587890625,7988.699033203125,8362.54174560547,11.484607891095038,-26.30785297407965,11.588294751188352,0,-1
2015-11-10,7783.35009765625,7885.10009765625,7772.85009765625,7877.60009765625,165200.0,-0.01665783484975325,8117.165087890625,7988.529033203125,8358.889497070313,9.161593615000612,-45.61098224569014,0.14843935181265344,0,1
2015-11-13,7762.25,7775.10009765625,7730.89990234375,7762.4501953125,160900.0,-0.002710927478722036,8098.692578125,7984.795029296875,8354.94724609375,8.990415220440113,-61.89793197527797,-12.260834913605473,1,1
2015-11-16,7806.60009765625,7838.85009765625,7714.14990234375,7732.9501953125,149500.0,0.005713562131630656,8083.627587890625,7980.88802734375,8350.502248535156,9.081843261469302,-70.41507360878313,-23.891682652641006,1,-1
2015-11-17,7837.5498046875,7860.4501953125,7793.0,7848.75,145000.0,0.00396455648349936,8066.530078125,7978.21302734375,8346.042497558594,14.357960772955138,-73.81667434355222,-33.876680990823246,0,1
2015-11-18,7731.7998046875,7843.39990234375,7725.0498046875,7823.14990234375,143600.0,-0.01349273722468125,8041.212548828125,7977.132021484375,8340.894494628907,12.688022547435565,-84.07642791815942,-43.916630376290485,1,0
2015-11-19,7842.75,7854.89990234375,7765.4501953125,7788.5,132600.0,0.014349853606560714,8019.59755859375,7979.647021484375,8335.930246582031,27.214724225627293,-82.30583262640539,-51.59447082631347,1,0
2015-11-20,7856.5498046875,7906.9501953125,7817.7998046875,7841.89990234375,151900.0,0.0017595619760288894,7999.342529296875,7980.318017578125,8330.660495605469,31.099098369311292,-78.87981676604068,-57.05154001425891,0,-1
2015-11-23,7849.25,7877.5,7825.2001953125,7869.5,127000.0,-0.0009291361817810317,7979.22001953125,7984.202021484375,8325.335246582032,32.98768652422417,-75.87902161671173,-60.81703633474948,0,1
2015-11-24,7831.60009765625,7870.35009765625,7812.64990234375,7837.0,130600.0,-0.002248610038379506,7956.027514648437,7989.65802734375,8319.731499023437,32.85090959654727,-74.07122250871362,-63.467873569542306,1,1
2015-11-26,7883.7998046875,7897.10009765625,7832.0,7837.14990234375,219800.0,0.006665267171503286,7937.190014648438,7993.5690234375,8315.10599609375,37.01933205589943,-67.64665999700628,-64.3036308550351,1,0
2015-11-27,7942.7001953125,7959.2998046875,7879.4501953125,7910.60009765625,150300.0,0.0074710662477730505,7922.680004882813,7996.051025390625,8310.832495117187,43.22728351931622,-57.14366208188585,-62.87163710040525,0,1
2015-11-30,7935.25,7966.0,7922.7998046875,7936.25,216300.0,-0.0009379927643368147,7910.882495117187,7998.9940234375,8306.72599609375,48.428000364785994,-48.85792531198331,-60.068894742720865,1,-1
2015-12-01,7954.89990234375,7972.14990234375,7934.14990234375,7958.14990234375,138600.0,0.0024762801857218797,7903.039990234375,8002.306025390625,8302.881994628906,50.045393199662854,-40.24195215358941,-56.10350622489457,0,-1
2015-12-02,7931.35009765625,7979.2998046875,7910.7998046875,7976.7001953125,126300.0,-0.00296041496142041,7896.3175048828125,8003.48802734375,8298.980244140625,51.25105815122542,-34.91156498571945,-51.865117977059555,0,-1
2015-12-03,7864.14990234375,7912.2998046875,7853.2998046875,7902.2998046875,125700.0,-0.008472730932953976,7886.985009765625,8004.1890234375,8294.995744628906,56.9559083900669,-35.6981824718805,-48.631730876023745,0,-1
2015-12-04,7781.89990234375,7821.39990234375,7775.7001953125,7817.60009765625,152500.0,-0.010458854551524621,7873.044995117188,8001.8440234375,8291.27349609375,51.530486121305564,-42.46891489013342,-47.399167678845686,0,-1
2015-12-07,7765.39990234375,7825.39990234375,7746.0498046875,7816.5498046875,137600.0,-0.0021203048364873966,7859.30498046875,7997.5140234375,8287.272746582032,46.645479439855734,-48.60588285440372,-47.64051071395729,0,-1
2015-12-08,7701.7001953125,7771.25,7685.4501953125,7738.5,135100.0,-0.00820301695113268,7846.61748046875,7992.006025390625,8282.644245605468,39.49913492981306,-57.94159355420925,-49.70072728200769,0,1
2015-12-09,7612.5,7702.85009765625,7606.89990234375,7695.5,140000.0,-0.011581883616657795,7829.527490234375,7988.016025390625,8277.148996582031,40.53626513920241,-71.71127884475027,-54.102837594556206,1,-1
2015-12-10,7683.2998046875,7691.9501953125,7610.0,7643.2998046875,140800.0,0.00930046695402309,7817.932470703125,7984.763017578125,8271.53799560547,36.49069273704189,-76.0344235976554,-58.48915479517605,0,1
2015-12-11,7610.4501953125,7703.0498046875,7575.2998046875,7699.60009765625,167800.0,-0.00948155235730297,7809.2874755859375,7979.602021484375,8265.543498535157,31.045909925087997,-84.3663785126364,-63.66459953866812,1,1
2015-12-14,7650.0498046875,7663.9501953125,7551.0498046875,7558.2001953125,148900.0,0.005203320218742258,7803.677465820312,7976.689013671875,8259.448249511719,35.385144478437496,-86.77388000855899,-68.2864556326463,1,1
2015-12-15,7700.89990234375,7705.0,7625.10009765625,7659.14990234375,134300.0,0.006647028314128445,7798.3924560546875,7973.841015625,8253.47625,40.856279684963624,-83.61480495719115,-71.35212549755526,1,1
2015-12-16,7750.89990234375,7776.60009765625,7715.75,7725.25,154300.0,0.006492747683265243,7794.0599609375,7969.881015625,8248.062751464844,40.67368467220715,-76.19826689749061,-72.32135377754233,1,-1
2015-12-17,7844.35009765625,7852.89990234375,7737.5498046875,7783.0498046875,175900.0,0.012056689737954374,7799.687475585937,7967.75001953125,8243.509750976562,43.41742937873417,-62.064516177383666,-70.2699862575106,0,1
2015-12-18,7761.9501953125,7836.14990234375,7753.35009765625,7828.89990234375,191400.0,-0.010504363180879661,7795.647485351563,7960.60302734375,8238.50900390625,39.458636826429476,-56.856988407827885,-67.58738668757405,1,-1
2015-12-21,7834.4501953125,7840.75,7733.4501953125,7745.64990234375,126300.0,0.009340436124388285,7794.542504882813,7954.234033203125,8233.845004882813,43.115972564465636,-46.34559783728946,-63.33902891751714,0,1
